Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Enhanced Neurolink Protection Cell Blueprint,3,3,9.000.000.000,,,,,,,
Standup Supercapital Shipyard I Blueprint,1,1,8.999.999.488,,,,,,,
Ragnarok Eros Blossom SKIN,1,1,8.999.999.488,,,,,,,
Orthrus Triumphant Elite SKIN,2,2,8.990.000.128,,,,,,,
Unit F-435454's Modified Fighter Support Unit,2,2,8.959.839.928,,,,,,,
Coolant,174,1.140.457,8.956.879.176,,,,,,,
Draugur,29,33,8.955.762.416,,,,,,,
Capital Turret Hardpoint Blueprint,6,6,8.897.343.232,,,,,,,
Hyperion Blueprint,4,4,8.896.333.396,,,,,,,
Sacrilege,45,51,8.880.246.579,,,,,,,
Clone Soldier Negotiator Tag,118,357,8.875.795.249,,,,,,,
Fenrir Blueprint,5,5,8.867.333.318,,,,,,,
Dual Giga Pulse Laser II,26,50,8.856.097.750,,,,,,,
Federation Navy Fleet Colonel Insignia I,127,3.835,8.852.705.927,,,,,,,
Noctis,88,89,8.852.553.928,,,,,,,
Synthetic Synapses,189,173.425,8.851.371.131,,,,,,,
Capital Clone Vat Bay Blueprint,4,5,8.837.946.432,,,,,,,
Ahremen's Modified Large EMP Smartbomb,1,1,8.801.999.872,,,,,,,
Nighthawk,36,40,8.763.022.220,,,,,,,
Succubus,63,80,8.747.266.273,,,,,,,
Capital Ship Maintenance Bay Blueprint,5,5,8.721.338.074,,,,,,,
Excavator' Mining Drone,34,73,8.709.818.672,,,,,,,
Ferox Malagrin Marshlight SKIN,29,47,8.678.955.714,,,,,,,
Damnation,22,23,8.656.877.279,,,,,,,
Chaotic Exotic Filament,191,579,8.650.890.930,,,,,,,
Brokara's Modified Heavy Energy Neutralizer,4,4,8.650.124.928,,,,,,,
Capital Power Generator Blueprint,6,6,8.642.659.920,,,,,,,
Raysere's Modified Cap Recharger,2,2,8.641.000.448,,,,,,,
Inherent Implants 'Highwall' Mining MX-1005,67,101,8.624.963.458,,,,,,,
Agency 'Pyrolancea' DB7 Dose III,270,506,8.608.959.400,,,,,,,
Mastodon,43,46,8.587.329.564,,,,,,,
Kronos Zakura Shumyu SKIN,1,1,8.584.999.936,,,,,,,
High-grade Hydra Omega,5,6,8.570.443.742,,,,,,,
Mid-grade Nirvana Epsilon,27,28,8.549.600.998,,,,,,,
Heavy Entropic Disintegrator II,173,222,8.530.364.608,,,,,,,
Capital Capacitor Booster II,63,73,8.492.241.550,,,,,,,
Dark Blood Capital Capacitor Booster,2,2,8.489.338.837,,,,,,,
Jackdaw,154,194,8.480.737.142,,,,,,,
Raitaru,16,17,8.462.588.439,,,,,,,
Standup L-Set Reprocessing Monitor I,1,1,8.454.750.080,,,,,,,
Quafe Zero Classic,154,355,8.454.535.201,,,,,,,
Ansiblex Jump Gate,6,6,8.451.712.186,,,,,,,
Transcranial Microcontrollers,170,168.999,8.432.312.305,,,,,,,
High-grade Nirvana Beta,25,26,8.405.378.826,,,,,,,
Sylramic Fibers,142,43.475.763,8.395.569.602,,,,,,,
True Sansha Capital Capacitor Booster,2,2,8.362.444.570,,,,,,,
XL Torpedo Launcher II,16,27,8.357.665.705,,,,,,,
Corpus X-Type Heavy Energy Neutralizer,45,54,8.326.491.687,,,,,,,
Vanadium,118,1.983.276,8.319.001.420,,,,,,,
Capital Sensor Cluster Blueprint,6,7,8.291.079.400,,,,,,,
ORE Mining Director Mindlink,12,13,8.210.192.059,,,,,,,
High-grade Amulet Delta,30,32,8.209.098.412,,,,,,,
Unit P-343554's Modified Sensor Booster,2,2,8.196.108.726,,,,,,,
Mid-grade Crystal Epsilon,78,88,8.187.504.275,,,,,,,
Hyperion,21,21,8.180.318.720,,,,,,,
Medium Core Defense Field Purger II,187,460,8.172.571.100,,,,,,,
Procurer,167,208,8.171.650.392,,,,,,,
Genolution Core Augmentation CA-3,38,43,8.123.475.181,,,,,,,
Drake,142,168,8.119.325.699,,,,,,,
Centum A-Type Medium Armor Repairer,19,21,8.113.151.710,,,,,,,
Women's Triglavian Survival Suit (Proving Grounds),2,2,8.093.250.048,,,,,,,
Minmatar Carrier,13,13,8.066.710.006,,,,,,,
Phoenix Navy Issue Heartsurge SKIN,1,1,8.056.580.116,,,,,,,
Osprey Navy Issue,167,259,8.013.219.186,,,,,,,
Gistum C-Type Multispectrum Shield Hardener,32,34,8.011.154.045,,,,,,,
Standup Moon Drill I Blueprint,6,6,8.000.000.000,,,,,,,
Zarmazd,17,18,7.997.849.320,,,,,,,
Zainou 'Deadeye' Rapid Launch RL-1005,58,65,7.991.608.638,,,,,,,
Gist B-Type X-Large Shield Booster,11,11,7.988.738.899,,,,,,,
C3-FTM Acid,35,106.165,7.971.705.627,,,,,,,
Jump Portal Generator I,5,5,7.965.166.952,,,,,,,
Mechanical Parts,273,1.183.444,7.963.597.977,,,,,,,
Paladin Zakura Shumyu SKIN,1,1,7.949.000.192,,,,,,,
Scorpion,29,31,7.935.242.080,,,,,,,
Sabre,134,234,7.920.327.900,,,,,,,
Inquest 'Hedone' Entanglement Optimizer WS-804,1,1,7.898.000.128,,,,,,,
Deimos,37,40,7.875.323.926,,,,,,,
Imperial Navy General Insignia I,112,3.544,7.863.349.212,,,,,,,
Mid-grade Harvest Omega,4,4,7.855.726.941,,,,,,,
Mid-grade Amulet Epsilon,50,59,7.807.372.035,,,,,,,
Devoter,26,29,7.784.900.145,,,,,,,
Large Auxiliary Nano Pump II,30,36,7.747.167.493,,,,,,,
Gotan's Modified Tracking Enhancer,1,1,7.744.000.000,,,,,,,
Nidhoggur Malagrin Marshlight SKIN,1,1,7.728.999.936,,,,,,,
Unstable Capital Armor Repairer Mutaplasmid,1,1,7.724.999.936,,,,,,,
Mercury,82,1.466.747,7.723.044.146,,,,,,,
Medium Auxiliary Nano Pump II,162,211,7.717.864.427,,,,,,,
Vizan's Modified Large EMP Smartbomb,1,1,7.717.750.080,,,,,,,
Vepas' Modified Ballistic Control System,1,1,7.714.319.954,,,,,,,
Black Market 'Valdimar' Drone Navigation DN-705,2,2,7.699.500.032,,,,,,,
R-O Trigger Neurolink Conduit,110,742,7.694.235.801,,,,,,,
Gist X-Type 100MN Afterburner,32,35,7.685.073.758,,,,,,,
Mid-grade Virtue Epsilon,23,24,7.683.138.051,,,,,,,
Strontium Clathrates,412,3.778.444,7.668.342.765,,,,,,,
Marshal DED Army Reserve SKIN,1,1,7.664.999.808,,,,,,,
High-grade Crystal Delta,39,41,7.651.493.114,,,,,,,
Large Consortium Vorton Projector,3,4,7.646.605.984,,,,,,,
Estamel's Modified Cloaking Device,1,1,7.638.249.984,,,,,,,
Templar I,73,1.679,7.624.791.651,,,,,,,
Cynabal,35,37,7.616.244.772,,,,,,,
Inherent Implants 'Squire' Capacitor Management EM-805,75,85,7.613.083.466,,,,,,,
Avatar Headhunter SKIN,1,1,7.599.999.744,,,,,,,
Guidance Systems,224,93.161,7.582.401.085,,,,,,,
Genolution Core Augmentation CA-4,39,44,7.555.448.720,,,,,,,
Mid-grade Nomad Omega,8,9,7.550.164.157,,,,,,,
Veles Heavy Entropic Disintegrator,87,95,7.534.978.704,,,,,,,
Capital Launcher Hardpoint Blueprint,5,5,7.534.524.835,,,,,,,
Basilisk,49,65,7.524.461.929,,,,,,,
Infrastructure Hub,10,12,7.515.113.137,,,,,,,
Shadow Serpentis Damage Control,41,43,7.507.759.803,,,,,,,
Chelm's Modified Capacitor Power Relay,1,1,7.499.999.744,,,,,,,
Setele's Modified Large Plasma Smartbomb,2,2,7.469.999.957,,,,,,,
Gist A-Type X-Large Shield Booster,7,7,7.467.980.117,,,,,,,
Tungsten Carbide,131,83.043.845,7.444.425.118,,,,,,,
Vigilant,28,29,7.427.449.779,,,,,,,
Mid-grade Asklepian Epsilon,39,40,7.416.450.427,,,,,,,
Guardian,51,62,7.416.019.648,,,,,,,
ORE Miner,28,44,7.401.235.695,,,,,,,
Contaminated Nanite Compound,1.623,199.776,7.400.517.876,,,,,,,
Onyx,30,31,7.378.306.085,,,,,,,
Unstable Capital Shield Booster Mutaplasmid,1,1,7.363.749.840,,,,,,,
Tuvan's Modified Damage Control,1,1,7.320.199.885,,,,,,,
Corelum A-Type 50MN Microwarpdrive,9,9,7.298.838.799,,,,,,,
Agency 'Pyrolancea' DB3 Dose I,785,2.851,7.276.149.789,,,,,,,
Phoenix Blueprint,4,4,7.255.499.936,,,,,,,
Small Core Defense Field Extender II,428,1.165,7.218.450.868,,,,,,,
Agency 'Pyrolancea' DB9 Dose IV,152,238,7.195.583.826,,,,,,,
Selynne's Modified Large EMP Smartbomb,1,1,7.178.888.987,,,,,,,
Aoede' Mining Laser Upgrade,9,9,7.171.909.826,,,,,,,
Brutix Navy Issue,56,66,7.163.631.426,,,,,,,
Power Conduit,315,6.543,7.159.077.362,,,,,,,
Eagle,61,81,7.154.240.172,,,,,,,
Curse,47,51,7.130.765.691,,,,,,,
Rokh Blueprint,4,4,7.117.000.064,,,,,,,
Zor's Custom Navigation Hyper-Link,74,82,7.113.484.334,,,,,,,
Draugur Niflhel Gildclaw SKIN,1,1,7.100.000.256,,,,,,,
Cyclone Fleet Issue,56,73,7.092.016.970,,,,,,,
Caldari Navy Heavy Assault Missile Launcher,20,39,7.073.628.957,,,,,,,
Atmospheric Gases,191,9.692.712,7.050.120.553,,,,,,,
Porpoise Blueprint,10,12,7.046.819.537,,,,,,,
Capital Computer System Blueprint,5,5,7.035.167.579,,,,,,,
Nonlinear Metamaterials,88,731.781,7.027.199.520,,,,,,,
Ahremen's Modified Heat Sink,1,1,7.024.999.936,,,,,,,
Standup L-Set Basic Medium Ship Manufacturing Efficiency I,1,1,6.997.000.192,,,,,,,
Clone Soldier Transporter Tag,142,354,6.996.832.433,,,,,,,
Caldari Navy Warp Scrambler,101,117,6.979.654.445,,,,,,,
Celadon Mykoserocin,92,110.51,6.968.495.125,,,,,,,
Capital Shield Extender II,37,53,6.963.614.520,,,,,,,
Caldari Navy Warp Disruptor,119,146,6.953.624.203,,,,,,,
Exigent Medium Drone Firepower Mutaplasmid,62,208,6.950.745.839,,,,,,,
Inquest 'Eros' Stasis Webifier MR-807,1,1,6.950.000.128,,,,,,,
Inherent Implants 'Noble' Hull Upgrades HG-1008,2,2,6.949.000.192,,,,,,,
Caldari Navy Admiral Insignia I,71,3.594,6.946.897.786,,,,,,,
Ferrogel,126,544.86,6.930.641.933,,,,,,,
Setele's Modified Power Diagnostic System,2,2,6.927.333.376,,,,,,,
Heavy Water,584,61.181.195,6.925.427.906,,,,,,,
Vizan's Modified Cap Recharger,2,2,6.904.999.936,,,,,,,
Standup M-Set Moon Drilling Stability I,9,10,6.901.454.828,,,,,,,
Large Core Defense Field Purger II,38,72,6.889.194.765,,,,,,,
Crane Matigu Seabeast SKIN,1,1,6.874.999.808,,,,,,,
Viridian Mykoserocin,101,109.638,6.855.155.828,,,,,,,
Daredevil,70,88,6.836.661.800,,,,,,,
Nergal All-Stars Casino Clash SKIN,1,1,6.834.999.957,,,,,,,
Sentient Damage Control,19,20,6.833.223.475,,,,,,,
Nyx Headhunter SKIN,1,1,6.830.000.128,,,,,,,
Impel,36,37,6.821.400.314,,,,,,,
High-grade Snake Epsilon,11,11,6.812.397.623,,,,,,,
Ion Siege Blaster II,13,25,6.807.050.532,,,,,,,
Titanium Carbide,122,68.802.176,6.792.544.213,,,,,,,
Sentient Drone Damage Amplifier,48,63,6.788.890.754,,,,,,,
Veles Supratidal Entropic Disintegrator,67,76,6.780.899.424,,,,,,,
Federation Navy Fleet Captain Insignia I,224,4.447,6.759.453.868,,,,,,,
Zealot,33,40,6.747.512.994,,,,,,,
Templar II,53,568,6.739.842.130,,,,,,,
Neural Boost - Standard,320,473,6.738.966.980,,,,,,,
Cormack's Modified Large Plasma Smartbomb,1,1,6.733.666.645,,,,,,,
Broadsword,26,28,6.729.956.298,,,,,,,
Enforcer,18,18,6.712.481.615,,,,,,,
Mid-grade Nirvana Delta,26,27,6.708.595.159,,,,,,,
Pith X-Type EM Shield Hardener,101,122,6.705.943.609,,,,,,,
Chaotic Gamma Filament,178,577,6.693.936.930,,,,,,,
Compressed Veldspar,323,877.265.628,6.683.988.412,,,,,,,
Compressed White Glaze,99,78.779,6.676.315.421,,,,,,,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706,9,12,6.675.314.004,,,,,,,
Medium Consortium Vorton Projector,8,8,6.664.028.407,,,,,,,
Electro-Neural Signaller,78,124,6.640.779.434,,,,,,,
Garmur,63,70,6.633.375.198,,,,,,,
Ladar-FTL Interlink Communicator Blueprint,3,4,6.624.071.396,,,,,,,
Mekubal Arkombine Arisen SKIN,58,58,6.607.334.064,,,,,,,
Unit P-343554's Modified Fighter Support Unit,1,1,6.604.666.709,,,,,,,
Compressed Concentrated Veldspar,316,810.116.678,6.593.206.569,,,,,,,
ORE Gas Cloud Harvester,25,37,6.588.787.019,,,,,,,
Memory Augmentation - Standard,321,452,6.555.452.371,,,,,,,
Capital Propulsion Engine Blueprint,5,5,6.555.113.654,,,,,,,
Flycatcher,122,188,6.550.211.583,,,,,,,
Pilgrim,41,45,6.536.273.121,,,,,,,
Raging Gamma Filament,256,857,6.519.298.098,,,,,,,
Phantasm,26,27,6.500.555.875,,,,,,,
Standup L-Set Drone and Fighter Manufacturing Efficiency I,1,1,6.497.999.872,,,,,,,
Standup L-Set Advanced Large Ship Manufacturing Efficiency I,1,1,6.496.999.936,,,,,,,
Standup L-Set Basic Large Ship Manufacturing Efficiency I,1,1,6.496.999.936,,,,,,,
Standup L-Set Structure Manufacturing Efficiency I,1,1,6.496.999.936,,,,,,,
Standup L-Set Capital Ship Manufacturing Efficiency I,2,2,6.496.999.936,,,,,,,
Vorton Arc Guidance,34,45,6.496.612.276,,,,,,,
Barghest Triumphant Elite SKIN,2,2,6.496.420.045,,,,,,,
Ocular Filter - Standard,304,468,6.468.944.532,,,,,,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-905,56,65,6.438.831.393,,,,,,,
Cybernetic Subprocessor - Standard,316,449,6.431.311.767,,,,,,,
Thon's Modified Torpedo Launcher,1,1,6.429.687.360,,,,,,,
Inherent Implants 'Noble' Hull Upgrades HG-1006,12,12,6.424.496.204,,,,,,,
Unit W-634's Modified Omnidirectional Tracking Link,2,2,6.393.999.872,,,,,,,
Caldari Navy Torpedo Launcher,32,62,6.393.521.237,,,,,,,
Hakim's Modified 1200mm Artillery Cannon,1,1,6.389.000.192,,,,,,,
CONCORD Dual Giga Beam Laser,5,11,6.362.199.331,,,,,,,
Standup L-Set Reactor Efficiency I,1,1,6.355.057.435,,,,,,,
High-grade Ascendancy Epsilon,13,13,6.332.435.850,,,,,,,
Standup L-Set Invention Optimization I,3,3,6.327.333.375,,,,,,,
Meta-Operant Neurolink Enhancer,18,359,6.302.370.173,,,,,,,
Standup L-Set Basic Capital Component Manufacturing Efficiency I,1,1,6.264.666.624,,,,,,,
Capital Construction Parts Blueprint,5,5,6.252.860.033,,,,,,,
Titanium,99,1.805.958,6.249.257.834,,,,,,,
Caracal,378,526,6.247.600.373,,,,,,,
Federation Navy 10MN Afterburner,174,243,6.238.692.194,,,,,,,
Caldari Navy Cruise Missile Launcher,51,114,6.231.915.766,,,,,,,
Shadow Serpentis Inertial Stabilizers,59,71,6.231.500.993,,,,,,,
Packrat' Mobile Tractor Unit,155,205,6.223.787.483,,,,,,,
Gistum B-Type 50MN Microwarpdrive,31,32,6.223.183.750,,,,,,,
Barghest Luminae Polaris SKIN,2,2,6.219.515.576,,,,,,,
Unstable Large Armor Plate Mutaplasmid,22,27,6.170.069.310,,,,,,,
Advanced Capital Ship Construction,13,13,6.129.687.500,,,,,,,
Providence Blueprint,3,3,6.122.222.222,,,,,,,
Ninazu,2,2,6.104.999.936,,,,,,,
Lachesis,30,34,6.099.675.755,,,,,,,
Unit D-34343's Modified Damage Control,1,1,6.094.499.840,,,,,,,
Alligator Empyrean Outlaws SKIN,17,17,6.094.329.872,,,,,,,
Hurricane,110,138,6.081.432.218,,,,,,,
Shipboard Compression Technology,39,43,6.079.206.114,,,,,,,
True Sansha Stasis Webifier,35,38,6.058.244.508,,,,,,,
Fullerite-C540,59,100.729,6.045.245.363,,,,,,,
Triglavian Transconduit Datacaster,126,76.01,6.044.354.863,,,,,,,
Siege Module II,62,72,6.037.368.681,,,,,,,
Rapid Torpedo Launcher II,25,42,6.033.751.079,,,,,,,
Unstable Heat Sink Mutaplasmid,63,82,6.032.340.542,,,,,,,
Golden Mykoserocin,116,124.288,6.025.848.409,,,,,,,
Unstable Stasis Webifier Mutaplasmid,63,84,6.022.203.200,,,,,,,
High-grade Asklepian Delta,17,18,6.019.834.672,,,,,,,
C3-X 'Hivaa Saitsuo' Ballistic Control System,31,42,6.007.592.294,,,,,,,
Kaikka's Modified Cruise Missile Launcher,4,4,6.000.000.000,,,,,,,
Pharolux Cyno Beacon Blueprint,1,1,6.000.000.000,,,,,,,
Capital Clone Vat Bay,10,218,5.997.372.344,,,,,,,
Agency 'Hardshell' TB9 Dose IV,166,253,5.993.235.488,,,,,,,
Standup L-Set Ammunition Manufacturing Efficiency I,1,1,5.985.999.872,,,,,,,
Vulture,15,17,5.978.170.825,,,,,,,
Brynn's Modified Magnetic Field Stabilizer,2,2,5.949.000.192,,,,,,,
Single-crystal Superalloy I-beam,392,11.09,5.944.358.912,,,,,,,
Tairei's Modified Dual Heavy Pulse Laser,1,1,5.934.099.840,,,,,,,
Eifyr and Co. 'Rogue' Warp Drive Speed WS-618,10,11,5.929.419.263,,,,,,,
Core Temperature Regulator,97,929,5.915.212.563,,,,,,,
Torpedo Launcher II,349,1.558,5.914.214.978,,,,,,,
Fleet Compression Logistics,21,22,5.899.926.591,,,,,,,
Mega Pulse Laser II,236,1.218,5.898.710.653,,,,,,,
Vargur In Rust We Trust SKIN,1,1,5.895.500.032,,,,,,,
Vepas' Modified Torpedo Launcher,1,1,5.886.749.952,,,,,,,
Large Remote Repair Augmentor II,17,28,5.884.888.823,,,,,,,
Hakim's Modified 100MN Afterburner,3,3,5.882.000.128,,,,,,,
Prowler,47,49,5.880.307.489,,,,,,,
Ikitursa Liminal Crossings SKIN,1,1,5.849.999.872,,,,,,,
Wyvern Eros Blossom SKIN,1,1,5.849.999.872,,,,,,,
Gist X-Type Shield Boost Amplifier,34,35,5.847.561.560,,,,,,,
True Sansha Large EMP Smartbomb,29,35,5.840.347.329,,,,,,,
Drone Cerebral Fragment,273,27.78,5.828.175.157,,,,,,,
AG-Composite Molecular Condenser,467,7.957,5.816.645.316,,,,,,,
High-grade Nirvana Alpha,25,26,5.811.650.093,,,,,,,
Caldari Navy Stasis Webifier,92,123,5.808.839.251,,,,,,,
Standup L-Set Bomb Aimer I,2,2,5.808.000.000,,,,,,,
Capital F-RX Compact Capacitor Booster,35,43,5.801.082.552,,,,,,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-906,9,10,5.799.468.463,,,,,,,
Unit D-34343's Modified Drone Damage Amplifier,1,1,5.788.333.282,,,,,,,
Mid-grade Asklepian Delta,38,41,5.786.990.123,,,,,,,
Meta-Molecular Combiner,73,102,5.764.852.470,,,,,,,
Mid-grade Snake Omega,19,20,5.762.060.196,,,,,,,
Compressed Clear Icicle,64,56.324,5.760.298.181,,,,,,,
Zainou 'Beancounter' Reprocessing RX-804,41,55,5.744.989.573,,,,,,,
Caesium,90,1.200.563,5.725.930.230,,,,,,,
Gistum A-Type 50MN Microwarpdrive,10,10,5.722.748.590,,,,,,,
Standup L-Set Moon Drilling Proficiency I,1,1,5.720.750.080,,,,,,,
Leviathan Malagrin Marshlight SKIN,2,2,5.710.125.120,,,,,,,
Hel Sebiestor SKIN,1,1,5.709.666.663,,,,,,,
Unstable Ballistic Control System Mutaplasmid,71,90,5.707.062.062,,,,,,,
True Sansha Capital Shield Booster,2,2,5.698.875.072,,,,,,,
Phobos,21,23,5.680.594.201,,,,,,,
Astero Scope Syndication YC122 SKIN,10,12,5.673.606.507,,,,,,,
Malachite Mykoserocin,64,85.814,5.668.973.229,,,,,,,
Imperial Navy General Insignia II,89,3.948,5.648.081.424,,,,,,,
Navy Cap Booster 400,1.272,71.676,5.642.376.174,,,,,,,
Hurricane Fleet Issue,44,52,5.614.994.069,,,,,,,
Compressed Blue Ice,64,58.657,5.608.556.701,,,,,,,
Federation Navy Tracking Computer,42,49,5.604.810.233,,,,,,,
Standup Cloning Center I,22,23,5.600.034.014,,,,,,,
Capital Doomsday Weapon Mount,6,99,5.590.874.244,,,,,,,
LM-Composite Molecular Condenser,563,13.09,5.589.102.414,,,,,,,
Einherji I Blueprint,3,27,5.586.178.765,,,,,,,
Dark Blood Stasis Webifier,43,49,5.577.183.135,,,,,,,
Tengu Offensive - Accelerated Ejection Bay,142,159,5.571.741.428,,,,,,,
U-C Trigger Neurolink Conduit,68,384,5.569.606.023,,,,,,,
Corelum A-Type 10MN Afterburner,7,7,5.551.818.422,,,,,,,
Medium Capacitor Control Circuit II,562,983,5.546.242.564,,,,,,,
Pressurized Oxidizers,76,714.617,5.530.037.052,,,,,,,
Zainou 'Gnome' Shield Operation SP-906,6,8,5.519.211.781,,,,,,,
Federation Navy Plutonium Charge M,11,33.565,5.513.055.440,,,,,,,
Zainou 'Gnome' Shield Management SM-706,11,13,5.509.827.640,,,,,,,
Ahremen's Modified Multispectrum Energized Membrane,1,1,5.501.500.032,,,,,,,
Tairei's Modified Mega Pulse Laser,1,1,5.500.000.256,,,,,,,
Naglfar In Rust We Trust SKIN,1,1,5.500.000.256,,,,,,,
Revelation Imperial Jubilee SKIN,1,1,5.500.000.256,,,,,,,
Hel Headhunter SKIN,1,1,5.497.333.248,,,,,,,
Caldari Navy Multispectrum Shield Hardener,13,14,5.493.529.435,,,,,,,
Veles Light Entropic Disintegrator,81,91,5.474.985.481,,,,,,,
High-grade Hydra Epsilon,5,5,5.472.971.888,,,,,,,
Liquid Ozone,918,48.741.325,5.457.639.141,,,,,,,
Sterile Conduits,85,7.408,5.447.006.654,,,,,,,
Shadow Serpentis 25000mm Steel Plates,3,3,5.417.000.064,,,,,,,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-705,40,46,5.413.987.099,,,,,,,
Amber Mykoserocin,118,110.576,5.410.986.221,,,,,,,
Fernite Carbide,115,67.582.100,5.409.532.482,,,,,,,
Retribution,174,281,5.408.849.330,,,,,,,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-705,39,46,5.406.822.342,,,,,,,
Einherji I,86,1.908,5.395.683.539,,,,,,,
Genolution Core Augmentation CA-1,44,52,5.392.155.903,,,,,,,
Compressed Azure Plagioclase,145,97.155.315,5.390.972.386,,,,,,,
Genetic Lock Preserver Blueprint,4,4,5.388.224.852,,,,,,,
Unstable Large Cap Battery Mutaplasmid,23,25,5.385.681.848,,,,,,,
Genetic Structure Repairer Blueprint,4,4,5.375.000.000,,,,,,,
Zainou 'Deadeye' Guided Missile Precision GP-805,35,40,5.368.680.307,,,,,,,
True Sansha Heat Sink,36,46,5.352.766.482,,,,,,,
High-grade Asklepian Gamma,18,18,5.348.929.567,,,,,,,
Pithum B-Type Medium Shield Booster,27,28,5.342.996.616,,,,,,,
Genetic Mutation Inhibitor Blueprint,4,4,5.339.814.820,,,,,,,
Republic Fleet Commander Insignia II,102,4.379,5.327.718.297,,,,,,,
Gistum B-Type 10MN Afterburner,29,30,5.322.102.176,,,,,,,
Sunesis,224,266,5.314.727.497,,,,,,,
Setele's Modified 500MN Microwarpdrive,1,1,5.300.000.000,,,,,,,
Revelation Navy Issue Heartsurge SKIN,1,1,5.299.999.744,,,,,,,
Unit W-634's Modified Omnidirectional Tracking Enhancer,1,1,5.295.719.916,,,,,,,
Ballistic Control System II,2.425,9.104,5.287.648.875,,,,,,,
Mizuro's Modified Ballistic Control System,2,2,5.282.625.024,,,,,,,
Hakim's Modified Ballistic Control System,1,1,5.262.000.128,,,,,,,
Cataclysmic Dark Filament,113,300,5.261.719.317,,,,,,,
Tengu Defensive - Covert Reconfiguration,129,142,5.261.131.102,,,,,,,
Apostle Blueprint,5,5,5.260.000.000,,,,,,,
Corpum C-Type Medium Armor Repairer,45,49,5.253.435.521,,,,,,,
Women's Proper Dapper Outfit,2,2,5.245.185.136,,,,,,,
Photonic Metamaterials,83,792.278,5.242.252.058,,,,,,,
Charon Blueprint,2,2,5.240.999.936,,,,,,,
Republic Fleet Tracking Enhancer,48,57,5.234.967.309,,,,,,,
Loki Defensive - Covert Reconfiguration,119,154,5.214.059.880,,,,,,,
Auto-Integrity Preservation Seal Blueprint,23,34,5.212.738.268,,,,,,,
Women's 'SteelKnight TorsoRig' Body Augmentation,1,1,5.208.124.960,,,,,,,
Kaikka's Modified Torpedo Launcher,3,3,5.201.333.360,,,,,,,
Quad 3500mm Siege Artillery II,7,16,5.201.197.773,,,,,,,
Nanotransistors,173,2.353.276,5.194.982.238,,,,,,,
Pith B-Type X-Large Shield Booster,22,23,5.194.309.771,,,,,,,
Standup Capital Shipyard I,6,6,5.183.870.925,,,,,,,
Long-limb Roes,138,4.412.091,5.171.908.365,,,,,,,
High-grade Amulet Gamma,29,33,5.171.284.956,,,,,,,
Tengu Core - Augmented Graviton Reactor,141,159,5.162.293.324,,,,,,,
Paladin Imperial Jubilee SKIN,1,1,5.149.333.504,,,,,,,
Ametat II,21,145,5.144.298.053,,,,,,,
Vorton Tuning System II,84,261,5.143.434.693,,,,,,,
Noctis Blueprint,7,11,5.141.766.677,,,,,,,
Capital Armor Repairer II,7,8,5.132.974.429,,,,,,,
Standup M-Set Drone and Fighter Manufacturing Material Efficiency II,2,2,5.131.777.877,,,,,,,
Thanatos Intaki Syndicate SKIN,1,1,5.126.000.128,,,,,,,
Barghest Redclaw Sable SKIN,2,2,5.124.950.032,,,,,,,
Myrmidon,95,115,5.122.041.612,,,,,,,
Firbolg I,65,1.842,5.121.444.139,,,,,,,
Pharolux Cyno Beacon,1,2,5.111.349.888,,,,,,,
Machariel Malagrin Marshlight SKIN,21,27,5.108.574.703,,,,,,,
Pith C-Type X-Large Shield Booster,18,20,5.108.242.950,,,,,,,
Maelstrom,16,17,5.103.291.165,,,,,,,
Programmable Purification Membrane Blueprint,6,10,5.100.222.222,,,,,,,
Moros Roden SKIN,1,1,5.100.000.256,,,,,,,
Corelum C-Type 50MN Microwarpdrive,36,38,5.093.256.966,,,,,,,
