Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Dark Blood Capital Capacitor Booster,1,1,7.794.843.744,
High-grade Crystal Delta,38,40,7.793.349.585,
Rorqual Forgemaster SKIN,1,1,7.776.999.936,
Phoenix Navy Issue Heartsurge SKIN,1,1,7.774.999.744,
Veles Supratidal Entropic Disintegrator,80,98,7.774.616.033,
XL Torpedo Launcher II,12,23,7.742.695.301,
Medium Auxiliary Nano Pump II,141,185,7.737.195.719,
Standup M-Set Ice Grading Processor II,3,3,7.736.285.826,
Unit D-34343's Modified Damage Control,1,1,7.717.823.109,
Wetware Mainframe,204,7.137,7.706.869.769,
Zainou 'Gnome' Shield Management SM-706,11,12,7.681.770.578,
Naglfar Blueprint,4,4,7.674.333.397,
Zor's Custom Navigation Hyper-Link,75,82,7.648.718.670,
C3-X 'Hivaa Saitsuo' Ballistic Control System,24,30,7.641.764.941,
Tuvan's Modified 500MN Microwarpdrive,2,2,7.636.270.880,
Vanadium,110,2.251.160,7.624.213.520,
Men's 'Valkyrie' Flight Jacket,1,1,7.597.000.192,
Mizuro's Modified Heavy Warp Scrambler,2,2,7.592.500.096,
Curse,50,55,7.590.488.907,
Guardian,49,60,7.566.572.340,
Inherent Implants 'Squire' Capacitor Management EM-805,73,88,7.545.621.835,
Deimos,40,44,7.533.226.946,
Caldari Navy Multispectrum Shield Hardener,16,18,7.528.708.495,
Mercury,72,1.114.499,7.497.303.531,
Draclira's Modified Capacitor Power Relay,1,1,7.495.000.064,
Eos,18,21,7.494.439.016,
Caldari Navy Rapid Light Missile Launcher,23,34,7.477.708.776,
Magnetometric-FTL Interlink Communicator Blueprint,5,6,7.475.837.146,
Capital Construction Parts Blueprint,6,7,7.470.387.022,
Estamel's Modified Cloaking Device,1,1,7.457.600.000,
Manticore State Police SKIN,1,1,7.449.999.872,
Tungsten Carbide,128,67.342.436,7.443.418.154,
Veles Heavy Entropic Disintegrator,83,94,7.415.377.027,
Mid-grade Crystal Epsilon,64,75,7.402.668.610,
Advanced Capital Ship Construction,14,15,7.398.543.490,
Nidhoggur Freedom's Revolution SKIN,1,1,7.391.000.064,
C3-FTM Acid,40,94.197,7.373.392.752,
Enforcer,18,19,7.373.050.951,
Centum A-Type Medium Armor Repairer,18,19,7.368.125.625,
Selynne's Modified Heat Sink,2,2,7.357.600.072,
Gist A-Type X-Large Shield Booster,7,7,7.352.575.313,
High-grade Amulet Delta,22,23,7.338.930.046,
Corpus X-Type Heavy Energy Neutralizer,38,47,7.338.481.198,
Rapid Torpedo Launcher II,20,37,7.336.730.755,
Garmur,58,68,7.320.077.614,
Unstable Large Armor Plate Mutaplasmid,28,34,7.311.898.310,
Corelum A-Type 50MN Microwarpdrive,6,6,7.284.169.677,
Gistum A-Type 50MN Microwarpdrive,10,10,7.241.637.872,
Cyclone Fleet Issue,65,95,7.230.975.231,
Large Core Defense Field Purger II,30,57,7.193.295.047,
Standup M-Set Moon Ore Grading Processor II,3,3,7.156.904.363,
Phantasm,26,27,7.125.058.069,
Capital Sensor Cluster Blueprint,5,5,7.124.059.333,
Mid-grade Amulet Epsilon,48,58,7.113.544.862,
Cynabal,27,27,7.113.472.409,
Typhoon Blueprint,6,6,7.112.857.142,
High-grade Ascendancy Epsilon,14,14,7.101.114.577,
ORE Gas Cloud Harvester,23,36,7.090.328.392,
CreoDron 'Yellowjacket' Drone Tuner D5-10T,1,1,7.079.531.280,
Gist X-Type 100MN Afterburner,34,37,7.055.330.445,
Zarmazd,14,16,7.048.569.555,
Zealot,35,40,7.022.005.630,
Women's Triglavian Survival Suit (Proving Grounds),1,1,7.000.000.000,
Loki In Rust We Trust SKIN,1,1,7.000.000.000,
Caldari Navy Admiral Insignia I,80,4.122,6.983.972.640,
Guidance Systems,242,101.069,6.965.752.977,
Standup M-Set Asteroid Ore Grading Processor II,3,3,6.964.276.859,
Small Core Defense Field Extender II,409,1.065,6.959.577.946,
Ladar-FTL Interlink Communicator Blueprint,3,4,6.958.319.969,
Daredevil,67,79,6.911.119.727,
Agency 'Pyrolancea' DB3 Dose I,736,3.741,6.910.130.369,
Clone Soldier Transporter Tag,128,322,6.874.154.795,
Shadow Serpentis Capital Remote Armor Repairer,3,3,6.873.000.192,
Celadon Mykoserocin,113,114.071,6.865.383.309,
Heavy Water,577,61.139.632,6.830.726.924,
Paladin Imperial Jubilee SKIN,11,11,6.822.500.096,
Scimitar,50,64,6.819.531.417,
R-O Trigger Neurolink Conduit,108,549,6.814.004.891,
High-grade Nirvana Alpha,20,20,6.805.715.609,
Chaotic Gamma Filament,194,673,6.797.626.732,
Standup L-Set Advanced Large Ship Manufacturing Efficiency I,1,1,6.797.000.192,
Standup L-Set Equipment Manufacturing Efficiency I,1,1,6.797.000.192,
Drake Blueprint,10,10,6.777.209.346,
Viridian Mykoserocin,103,113.111,6.773.712.209,
Fullerides,209,19.970.912,6.765.425.199,
Standup L-Set Thukker Basic Capital Component Manufacturing Efficiency,1,1,6.763.666.603,
Shipboard Compression Technology,39,41,6.760.167.637,
Compressed Veldspar,305,837.832.228,6.759.337.521,
Genolution Core Augmentation CA-3,26,29,6.758.444.959,
Neural Boost - Standard,289,415,6.747.346.393,
Federation Navy Fleet Captain Insignia I,239,4.574,6.747.024.805,
Men's Triglavian Survival Suit (Svarog),1,1,6.730.400.051,
Industrial Jump Portal Generator I,4,4,6.729.146.776,
Scimitar Emergency Response Squad SKIN,8,8,6.715.000.192,
Standup L-Set Advanced Medium Ship Manufacturing Efficiency I,1,1,6.697.000.192,
Standup L-Set Advanced Component Manufacturing Efficiency I,1,1,6.697.000.192,
Power Conduit,299,7.788,6.676.848.671,
Sentient Damage Control,16,16,6.676.294.795,
Large Auxiliary Nano Pump II,22,29,6.675.763.438,
Ferrogel,112,425.089,6.671.724.301,
Contaminated Nanite Compound,1.781,202.9,6.667.914.694,
Standup L-Set Basic Large Ship Manufacturing Efficiency I,1,1,6.647.000.064,
Standup L-Set Capital Ship Manufacturing Efficiency I,1,1,6.647.000.064,
Gila Empyrean Outlaws SKIN,16,17,6.637.818.296,
Long-limb Roes,136,7.115.625,6.635.855.861,
Caldari Navy Warp Disruptor,90,115,6.635.127.403,
Prototype Jump Drive Economizer,11,18,6.626.519.950,
Genetic Mutation Inhibitor Blueprint,4,4,6.623.701.395,
Infrastructure Hub,8,9,6.617.588.598,
Chelm's Modified Tachyon Beam Laser,1,1,6.609.866.691,
Phoenix Navy Issue,1,1,6.600.000.000,
Ocular Filter - Standard,296,432,6.599.112.433,
Arch Angel Carbonized Lead M,20,82.946,6.598.955.334,
Black Market 'Valdimar' Drone Durability DD-1005,1,1,6.584.249.984,
Thon's Modified Ballistic Control System,2,2,6.583.185.255,
Compressed White Glaze,96,76.176,6.572.720.704,
Estamel's Modified 425mm Railgun,2,2,6.540.000.256,
Mechanical Parts,258,1.003.745,6.538.639.994,
Compressed Concentrated Veldspar,296,700.944.730,6.536.788.505,
Thanatos Federal Police SKIN,1,1,6.536.444.585,
Lachesis,33,38,6.532.886.695,
Raging Gamma Filament,257,891,6.506.997.656,
Phoenix Blueprint,3,3,6.498.000.128,
Standup L-Set Thukker Advanced Component Manufacturing Efficiency,1,1,6.496.999.936,
Obelisk Blueprint,4,5,6.483.166.688,
Impel,32,32,6.470.888.677,
Corelum A-Type 10MN Afterburner,8,9,6.466.267.507,
Federation Navy Tracking Computer,42,52,6.459.137.965,
Zainou 'Beancounter' Reprocessing RX-804,46,62,6.429.110.885,
Veles Light Entropic Disintegrator,73,82,6.420.187.163,
Genetic Structure Repairer Blueprint,5,5,6.409.090.908,
Standup Moon Drill I Blueprint,4,4,6.400.000.000,
Standup L-Set Moon Drilling Proficiency I,1,1,6.394.999.808,
Dominix Blueprint,3,3,6.381.777.806,
Caldari Control Tower,8,12,6.380.513.603,
Inherent Implants 'Noble' Mechanic MC-806,8,8,6.358.280.123,
Oneiros,35,40,6.352.413.354,
Mekubal Arkombine Arisen SKIN,12,12,6.332.286.668,
Broadsword,22,24,6.329.687.246,
Tuvan's Modified Ion Blaster Cannon,1,1,6.321.000.192,
Atmospheric Gases,185,11.342.396,6.314.766.313,
CONCORD Capital Shield Extender,11,14,6.304.676.572,
Cataclysmic Dark Filament,126,384,6.303.613.515,
Large Remote Repair Augmentor II,21,43,6.294.294.421,
Nonlinear Metamaterials,68,485.433,6.290.674.179,
Revelation Blueprint,3,3,6.285.714.284,
Genetic Lock Preserver Blueprint,5,5,6.229.881.656,
Inherent Implants 'Lancer' Gunnery RF-906,7,9,6.214.725.945,
Eagle,38,44,6.202.651.493,
Mid-grade Nirvana Delta,27,29,6.201.455.219,
Genolution Core Augmentation CA-4,25,27,6.198.118.051,
Basilisk,44,59,6.172.163.129,
Exigent Medium Drone Firepower Mutaplasmid,62,173,6.161.826.429,
Unit W-634's Modified Drone Navigation Computer,1,1,6.149.999.926,
Fleet Compression Logistics,19,19,6.123.974.265,
Brynn's Modified Magnetic Field Stabilizer,2,2,6.119.640.688,
Unstable Siege Module Mutaplasmid,2,2,6.111.562.464,
Bowhead Blueprint,3,3,6.079.500.160,
Gist X-Type Shield Boost Amplifier,31,33,6.077.811.342,
Phobos,21,22,6.073.611.337,
Capital Computer System Blueprint,4,5,6.065.997.056,
Federation Navy 10MN Afterburner,168,230,6.046.108.581,
Fullerite-C540,60,107.296,6.032.318.400,
Prowler,42,43,6.029.338.655,
Caldari Navy Heavy Missile Launcher,20,34,6.017.653.551,
Strontium Clathrates,365,3.123.942,6.016.104.858,
Gistum B-Type 10MN Afterburner,24,24,6.011.044.274,
CONCORD Rogue Analysis Beacon,19,42,6.005.064.729,
Astrahus Blueprint,1,1,6.000.000.000,
Pashan's Turret Handling Mindlink,1,1,6.000.000.000,
Radar-FTL Interlink Communicator Blueprint,4,4,6.000.000.000,
Inherent Implants 'Noble' Hull Upgrades HG-1006,9,10,5.986.391.609,
Cybernetic Subprocessor - Standard,297,420,5.983.878.924,
Redeemer Fireblade Guerilla SKIN,2,2,5.981.599.846,
Corelum A-Type Multispectrum Energized Membrane,11,12,5.979.227.889,
Leviathan Kimotoro Eskeitan SKIN,1,1,5.969.999.872,
Standup M-Set Moon Drilling Stability I,6,7,5.963.412.062,
Quad 800mm Repeating Cannon II,11,21,5.960.356.152,
Caracal,317,437,5.959.470.872,
Ion Siege Blaster II,9,19,5.950.691.128,
Brutix Navy Issue,42,51,5.929.397.796,
Standup Cloning Center I,20,20,5.921.719.187,
High-grade Asklepian Gamma,20,21,5.917.118.769,
Ligature Integrated Analyzer,31,32,5.910.388.344,
Gistum A-Type Medium Shield Booster,13,13,5.909.537.929,
Triglavian Transconduit Datacaster,117,66.248,5.898.173.880,
Hurricane Fleet Issue,46,56,5.884.195.835,
Selynne's Modified Large EMP Smartbomb,1,1,5.884.000.000,
Vizan's Modified Heat Sink,1,1,5.868.886.037,
Packrat' Mobile Tractor Unit,142,182,5.854.125.179,
Inherent Implants 'Noble' Hull Upgrades HG-1008,2,2,5.844.653.103,
Sacrilege,27,28,5.826.534.517,
Tornado Blueprint,6,7,5.820.653.033,
Kaikka's Modified Cruise Missile Launcher,4,4,5.818.999.808,
AG-Composite Molecular Condenser,198,4.675,5.816.493.712,
Titanium,82,1.424.628,5.809.037.268,
Standup L-Set Reactor Efficiency I,1,1,5.803.642.121,
Pilgrim,34,39,5.800.891.366,
Single-crystal Superalloy I-beam,398,11.229,5.795.618.645,
Capital Shield Extender II,23,33,5.793.251.482,
Memory Augmentation - Standard,289,433,5.778.092.947,
Caldari Navy Stasis Webifier,80,122,5.768.341.357,
Caldari Navy Warp Scrambler,71,88,5.768.184.147,
Unstable Heat Sink Mutaplasmid,77,107,5.763.988.871,
Loki Defensive - Covert Reconfiguration,132,159,5.757.638.879,
Vexor Navy Issue,125,155,5.729.489.607,
Brynn's Modified Damage Control,1,1,5.694.999.962,
Consortium Vorton Tuning system,2,2,5.694.444.371,
Standup M-Set Basic Large Ship Manufacturing Material Efficiency II,2,2,5.693.999.872,
Men's Desert Nomad Mask,2,2,5.689.708.250,
Vulture,14,15,5.682.514.647,
Compressed Blue Ice,65,59.968,5.678.682.491,
Gistii A-Type Small Shield Booster,27,28,5.662.439.456,
ORE Miner,25,33,5.658.796.972,
Augmented' Mining Drone,91,369,5.645.732.152,
Life Support Backup Unit Blueprint,27,38,5.632.527.228,
Imperial Navy General Insignia II,107,4.345,5.630.319.620,
Siege Module II,59,71,5.630.061.093,
Large Disintegrator Specialization,15,15,5.621.712.973,
Unstable Large Cap Battery Mutaplasmid,26,29,5.614.242.616,
Nyx Malagrin Marshlight SKIN,1,1,5.602.124.928,
Pith X-Type EM Shield Hardener,76,91,5.578.415.796,
Republic Fleet Commander Insignia II,112,5.545,5.569.646.546,
Selynne's Modified Cap Recharger,1,1,5.557.040.778,
True Sansha Capital Capacitor Booster,1,1,5.528.333.483,
Corpus C-Type Large Armor Repairer,19,22,5.522.082.838,
Supertensile Plastics,104,539.748,5.517.081.846,
Unit W-634's Modified Omnidirectional Tracking Enhancer,1,1,5.514.359.931,
Caldari Navy Cruise Missile Launcher,46,120,5.513.476.308,
Shadow Serpentis Capital Flex Armor Hardener,2,2,5.501.000.064,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-905,49,59,5.495.101.944,
Shadow Serpentis Inertial Stabilizers,53,64,5.467.876.547,
Pressurized Oxidizers,65,753.54,5.466.765.473,
Amber Mykoserocin,118,94.552,5.466.744.626,
True Sansha Stasis Webifier,39,45,5.464.924.913,
Mid-grade Nomad Epsilon,12,15,5.452.719.658,
Auto-Integrity Preservation Seal Blueprint,26,40,5.452.060.840,
Retribution,192,307,5.449.080.990,
Gistum B-Type 50MN Microwarpdrive,26,27,5.447.625.516,
Corpum C-Type Multispectrum Energized Membrane,45,54,5.426.320.259,
Unstable Stasis Webifier Mutaplasmid,67,89,5.415.855.252,
Talos Blueprint,7,7,5.383.923.787,
Capital Capacitor Booster II,41,52,5.379.588.519,
Compressed Azure Plagioclase,144,112.549.904,5.378.749.123,
Sentient Drone Damage Amplifier,37,47,5.374.281.851,
LM-Composite Molecular Condenser,144,5.026,5.345.003.282,
True Sansha Warp Scrambler,47,50,5.335.633.962,
Fenrir Blueprint,2,3,5.318.392.776,
Caesium,82,1.245.372,5.317.129.451,
ORE Reinforced Bulkheads,17,22,5.300.447.704,
Vepas' Modified Cruise Missile Launcher,2,2,5.297.687.472,
Scorpion Blueprint,4,5,5.287.176.553,
Medium Capacitor Control Circuit II,489,886,5.285.793.351,
Navy Cap Booster 400,1.092,69.758,5.279.712.799,
Sunesis,207,244,5.271.073.438,
Agency 'Hardshell' TB9 Dose IV,157,290,5.261.803.838,
Corpum B-Type Multispectrum Energized Membrane,16,17,5.254.961.294,
U-C Trigger Neurolink Conduit,78,369,5.249.049.263,
Poteque 'Prospector' Astrometric Acquisition AQ-710,19,23,5.241.936.427,
Dark Blood Large EMP Smartbomb,21,28,5.230.114.718,
Tengu Offensive - Accelerated Ejection Bay,126,146,5.224.973.020,
Unit P-343554's Modified Sensor Booster,1,1,5.222.499.920,
Drone Cerebral Fragment,258,30.171,5.201.923.323,
High-grade Crystal Gamma,40,44,5.201.406.997,
Unit F-435454's Modified Fighter Support Unit,1,1,5.167.777.791,
Zainou 'Deadeye' Guided Missile Precision GP-805,33,37,5.162.454.721,
Capital Transverse Bulkhead II,11,28,5.157.099.633,
Centii A-Type Small Armor Repairer,74,84,5.149.787.827,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706,6,8,5.120.063.988,
Brutix Blueprint,7,7,5.108.224.235,
Expired DNNR-01L Lowsec Ice Storm Filament,955,6.957,5.107.300.155,
Republic Fleet Ballistic Control System,35,53,5.107.012.999,
Gistum C-Type 50MN Microwarpdrive,27,29,5.105.965.338,
Mobile Cynosural Beacon,64,136,5.100.814.188,
Enriched Uranium,122,497.448,5.098.314.209,
Fullerite-C32,117,327.324,5.093.869.749,
Unit F-435454's Modified Drone Damage Amplifier,1,1,5.091.999.744,
Capital Shield Emitter Blueprint,3,3,5.081.719.750,
Corelum C-Type 50MN Microwarpdrive,33,35,5.075.372.779,
Torpedo Launcher II,295,1.243,5.072.963.802,
Mid-grade Harvest Delta,5,5,5.070.362.591,
Sterile Conduits,82,5.613,5.069.200.124,
Gistum A-Type 10MN Afterburner,8,8,5.047.431.902,
High-grade Hydra Delta,7,7,5.040.001.785,
Triple Neutron Blaster Cannon II,7,12,5.025.539.324,
Setele's Modified Magnetic Field Stabilizer,1,1,5.021.999.872,
Corpum C-Type Medium Armor Repairer,39,43,5.020.126.008,
Malachite Mykoserocin,61,83.414,5.017.549.571,
Ogdin's Eye Coordination Enhancer,16,17,5.014.720.672,
Flycatcher,90,141,5.011.134.733,
Mega Pulse Laser II,202,893,5.009.209.007,
Kernite,735,5.832.242,5.008.527.223,
Tobias' Modified 1200mm Artillery Cannon,1,1,5.000.999.936,
Hulk Digmaster Blazon SKIN,1,1,5.000.000.000,
Crane Lodestrike SKIN,1,1,5.000.000.000,
Crow State Police SKIN,1,1,5.000.000.000,
Confessor Eros Blossom SKIN,1,1,5.000.000.000,
Apostle Capsuleer Elite XV SKIN,1,1,5.000.000.000,
Mizuro's Modified Heavy Warp Disruptor,1,1,5.000.000.000,
High-grade Ascendancy Omega,1,1,4.994.499.840,
Tengu Defensive - Covert Reconfiguration,119,137,4.990.886.134,
Compressed Plagioclase,135,95.207.036,4.987.777.908,
Estamel's Modified EM Shield Hardener,1,1,4.984.000.000,
Marshal DED 'Alpha Plus' Taskforce SKIN,1,1,4.976.999.936,
Ballistic Control System II,2.192,8.119,4.975.887.613,
Caldari Navy Vice Admiral Insignia I,82,2.706,4.966.066.939,
High-grade Ascendancy Delta,16,17,4.963.271.537,
Pharolux Cyno Beacon,4,4,4.950.873.944,
Federation Navy Fleet Colonel Insignia II,149,6.925,4.938.987.515,
Mid-grade Asklepian Delta,35,39,4.938.123.826,
Noctis Blueprint,8,11,4.933.146.719,
Mizuro's Modified Ballistic Control System,2,2,4.918.875.072,
Erebus Eros Blossom SKIN,1,1,4.905.999.872,
Extended 'Brainfreeze' Cerebral Accelerator,389,729,4.899.060.471,
Technetium,84,1.360.650,4.893.894.225,
Black Market 'Valdimar' Drone Sharpshooting DS-805,1,1,4.874.499.840,
Unstable Ballistic Control System Mutaplasmid,62,76,4.867.911.211,
Datacore - Electronic Engineering,342,73.242,4.838.566.049,
Electro-Neural Signaller,81,151,4.837.404.717,
Golden Mykoserocin,117,98.831,4.823.870.935,
Hurricane Blueprint,6,8,4.810.504.198,
Pithum B-Type Medium Shield Booster,24,24,4.806.831.315,
Coreli A-Type 5MN Microwarpdrive,137,173,4.800.143.149,
Standup Cloning Center I Blueprint,3,3,4.800.000.000,
Shadow Serpentis Tracking Computer,42,47,4.799.467.663,
Standup M-Set Moon Drilling Efficiency I,5,6,4.796.469.454,
Vepas' Modified Large Graviton Smartbomb,2,2,4.793.281.360,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-906,5,5,4.784.722.106,
Standup M-Set Advanced Large Ship Manufacturing Time Efficiency II,2,2,4.784.000.000,
Capital Propulsion Engine Blueprint,3,3,4.783.209.808,
Tuvan's Modified Large Plasma Smartbomb,2,2,4.775.555.554,
Hulk Lodestrike SKIN,2,2,4.773.533.382,
Corpus A-Type Large Armor Repairer,12,12,4.756.064.701,
Large Industrial Core II,44,46,4.746.230.544,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-705,34,41,4.745.958.871,
Phenolic Composites,198,7.503.893,4.743.369.326,
Hurricane,82,100,4.734.263.286,
Jump Portal Generator I,3,3,4.713.432.885,
8th Tier Overseer's Personal Effects,1.493,33.672,4.709.657.570,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-705,31,37,4.689.263.911,
M-36 Enduring Warp Disruption Field Generator,518,1.269,4.684.603.474,
Standup M-Set Structure Manufacturing Material Efficiency II,2,2,4.681.600.051,
Victorieux Luxury Yacht,25,28,4.675.064.449,
Low-grade Harvest Omega,6,6,4.674.117.077,
Entropic Radiation Sink II,577,1.643,4.669.320.080,
True Sansha Heat Sink,60,75,4.665.363.492,
Zainou 'Deadeye' Missile Projection MP-706,6,8,4.659.871.467,
Ukomi Superconductors,232,102.298,4.657.441.424,
Clutch Restrained Warp Disruption Field Generator,522,1.261,4.652.571.135,
High-grade Hydra Omega,3,3,4.644.833.408,
Quad Mega Pulse Laser II,10,19,4.641.815.869,
Caldari Navy Torpedo Launcher,19,32,4.638.743.600,
Nanotransistors,163,2.687.507,4.637.552.604,
Nanite Compound,428,15.569,4.617.412.658,
Standup M-Set Moon Ore Grading Processor I,6,6,4.616.936.071,
Compressed Clear Icicle,60,63.404,4.607.192.238,
Mid-grade Nirvana Gamma,24,27,4.598.829.035,
Coreli A-Type 1MN Afterburner,143,183,4.598.658.669,
Tengu Core - Augmented Graviton Reactor,123,144,4.579.802.053,
High-grade Mimesis Omega,4,4,4.579.608.097,
Svipul,47,60,4.552.296.986,
Maelstrom,19,19,4.551.352.152,
Loki Propulsion - Wake Limiter,103,131,4.541.925.602,
Entosis Link II,15,18,4.537.430.161,
Pitfall Compact Warp Disruption Field Generator,528,1.304,4.534.264.483,
Barghest Triumphant Elite SKIN,1,1,4.531.499.947,
Mid-grade Crystal Delta,68,81,4.530.029.712,
Machariel Malagrin Marshlight SKIN,9,16,4.523.600.128,
Rook,23,26,4.514.229.437,
High-grade Amulet Gamma,23,25,4.508.050.055,
Unstable Large Shield Extender Mutaplasmid,32,39,4.507.322.092,
Core Temperature Regulator,86,806,4.505.749.029,
Navy Cap Booster 800,771,28.633,4.504.805.092,
Tairei's Modified Mega Pulse Laser,1,1,4.500.000.128,
Men's 'Glass Semiotique' Monocle Interface (right),1,1,4.499.999.744,
Cataclysmic Exotic Filament,117,382,4.498.947.381,
Nyx Intaki Syndicate SKIN,1,1,4.497.999.872,
